Config,Layer,d,orth_residual
Block-QR b=256,vit.encoder.layer.1.intermediate.dense,768,1.986e-05
Block-QR b=256,vit.encoder.layer.1.output.dense,3072,4.059e-05
Block-QR b=256,vit.encoder.layer.2.intermediate.dense,768,1.994e-05
Block-QR b=256,vit.encoder.layer.2.output.dense,3072,4.063e-05
Block-QR b=256,vit.encoder.layer.3.intermediate.dense,768,1.999e-05
Block-QR b=256,vit.encoder.layer.3.output.dense,3072,4.058e-05
Block-QR b=256,vit.encoder.layer.4.intermediate.dense,768,1.998e-05
Block-QR b=256,vit.encoder.layer.4.output.dense,3072,4.084e-05
Block-QR b=256,vit.encoder.layer.5.intermediate.dense,768,2.009e-05
Block-QR b=256,vit.encoder.layer.5.output.dense,3072,4.046e-05
Block-QR b=256,vit.encoder.layer.6.intermediate.dense,768,2.01e-05
Block-QR b=256,vit.encoder.layer.6.output.dense,3072,4.02e-05
Block-QR b=256,vit.encoder.layer.7.intermediate.dense,768,1.997e-05
Block-QR b=256,vit.encoder.layer.7.output.dense,3072,4.045e-05
Block-QR b=256,vit.encoder.layer.8.intermediate.dense,768,2.008e-05
Block-QR b=256,vit.encoder.layer.8.output.dense,3072,4.047e-05
Block-QR b=256,vit.encoder.layer.9.intermediate.dense,768,2.004e-05
Block-QR b=256,vit.encoder.layer.9.output.dense,3072,4.067e-05
Block-QR b=256,vit.encoder.layer.10.intermediate.dense,768,1.997e-05
Block-QR b=256,vit.encoder.layer.10.output.dense,3072,4.054e-05
Block-QR b=256,vit.encoder.layer.11.intermediate.dense,768,2.007e-05
Block-QR b=256,vit.encoder.layer.11.output.dense,3072,4.05e-05
Block-QR b=384,vit.encoder.layer.0.intermediate.dense,768,1.964e-05
Block-QR b=384,vit.encoder.layer.0.output.dense,3072,4.083e-05
Block-QR b=384,vit.encoder.layer.1.intermediate.dense,768,1.975e-05
Block-QR b=384,vit.encoder.layer.1.output.dense,3072,4.068e-05
Block-QR b=384,vit.encoder.layer.2.intermediate.dense,768,1.944e-05
Block-QR b=384,vit.encoder.layer.2.output.dense,3072,4.089e-05
Block-QR b=384,vit.encoder.layer.3.intermediate.dense,768,1.938e-05
Block-QR b=384,vit.encoder.layer.3.output.dense,3072,4.084e-05
Block-QR b=384,vit.encoder.layer.4.intermediate.dense,768,1.929e-05
Block-QR b=384,vit.encoder.layer.4.output.dense,3072,4.061e-05
Block-QR b=384,vit.encoder.layer.5.intermediate.dense,768,1.943e-05
Block-QR b=384,vit.encoder.layer.5.output.dense,3072,4.074e-05
Block-QR b=384,vit.encoder.layer.6.intermediate.dense,768,1.949e-05
Block-QR b=384,vit.encoder.layer.6.output.dense,3072,4.078e-05
Block-QR b=384,vit.encoder.layer.7.intermediate.dense,768,1.938e-05
Block-QR b=384,vit.encoder.layer.7.output.dense,3072,4.062e-05
Block-QR b=384,vit.encoder.layer.8.intermediate.dense,768,1.948e-05
Block-QR b=384,vit.encoder.layer.8.output.dense,3072,4.068e-05
Block-QR b=384,vit.encoder.layer.9.intermediate.dense,768,1.943e-05
Block-QR b=384,vit.encoder.layer.9.output.dense,3072,4.099e-05
Block-QR b=384,vit.encoder.layer.10.intermediate.dense,768,1.971e-05
Block-QR b=384,vit.encoder.layer.10.output.dense,3072,4.107e-05
Block-QR b=384,vit.encoder.layer.11.intermediate.dense,768,1.953e-05
Block-QR b=384,vit.encoder.layer.11.output.dense,3072,4.078e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.0.intermediate.dense,768,1.965e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.0.output.dense,3072,5.928e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.1.intermediate.dense,768,1.965e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.1.output.dense,3072,5.936e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.2.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.2.output.dense,3072,5.923e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.3.intermediate.dense,768,1.957e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.3.output.dense,3072,5.914e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.4.intermediate.dense,768,1.942e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.4.output.dense,3072,5.925e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.5.intermediate.dense,768,1.962e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.5.output.dense,3072,5.913e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.6.intermediate.dense,768,1.944e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.6.output.dense,3072,5.932e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.7.intermediate.dense,768,1.963e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.7.output.dense,3072,5.926e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.8.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.8.output.dense,3072,5.914e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.9.intermediate.dense,768,1.95e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.9.output.dense,3072,5.898e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.10.intermediate.dense,768,1.961e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.10.output.dense,3072,5.932e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.11.intermediate.dense,768,1.944e-05
QR of Gaussian (baseline/Haar),vit.encoder.layer.11.output.dense,3072,5.918e-05
